RL;Jugador;País;Posc;Equipo;Edad;Nacimiento;PJ;Titular;Mín;90 s;Gls.;Ass;G-TP;TP;TPint;TA;TR;Gls.;Ast;G+A;G-TP;G+A-TP;Dis;DaP;% de TT;T/90;TalArc/90;G/T;G/TalArc;Dist;FK;TP;TPint;TA;TR;2a amarilla;Fls;FR;PA;Pcz;Int;TklG;Penal ejecutado;Penal concedido;GC;Recup.;Ganados;Perdidos;% de ganados
374;Raúl Navas;ESP;DF;Osasuna;32;1988;2;2;168;1.9;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;2;0;0;0;3;5;0;1;0;17;1;0;100.0
375;Álvaro Negredo;ESP;DL;Cádiz;35;1985;26;24;1832;20.4;7;3;7;0;0;3;1;0.34;0.15;0.49;0.34;0.49;40;17;42.5;1.97;0.84;0.18;0.41;12.8;0;0;0;3;1;1;15;29;7;11;2;6;0;1;0;67;108;126;46.2
376;Neto;BRA;PO;Barcelona;31;1989;6;6;540;6.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;
377;Carlos Neva;ESP;DF;Granada;24;1996;20;20;1716;19.1;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;8;1;12.5;0.42;0.05;0.00;0.00;22.1;0;0;0;1;0;0;7;24;1;28;31;7;0;0;0;119;10;35;22.2
378;Mamor Niang;SEN;DL,CC;Getafe;19;2002;1;0;22;0.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;4.09;0.00;0.00;;8.0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;2;1;4;20.0
379;Manuel Nieto;ESP;DL,CC;Cádiz;23;1998;2;0;14;0.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;6.43;0.00;0.00;;3.0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;
380;Saúl Ñíguez;ESP;CC,DF;Atlético Madrid;26;1994;24;15;1447;16.1;2;0;2;0;1;7;0;0.12;0.00;0.12;0.12;0.12;21;7;33.3;1.31;0.44;0.10;0.29;18.4;0;0;1;7;0;0;30;13;6;23;14;38;0;0;0;147;49;45;52.1
381;Nino;ESP;CC,DL;Elche;40;1980;11;0;220;2.4;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;3;1;33.3;1.23;0.41;0.00;0.00;13.0;0;0;0;1;0;0;2;5;1;3;0;0;0;0;0;11;1;6;14.3
382;Fernando Niño;ESP;DL;Villarreal;20;2000;13;7;498;5.5;3;0;3;0;0;1;0;0.54;0.00;0.54;0.54;0.54;12;6;50.0;2.17;1.08;0.25;0.50;8.7;0;0;0;1;0;0;6;14;4;1;0;1;0;0;0;20;8;16;33.3
383;Nolito;ESP;CC,DL;Celta Vigo;34;1986;27;26;1955;21.7;6;5;6;0;0;5;0;0.28;0.23;0.51;0.28;0.51;47;23;48.9;2.16;1.06;0.13;0.26;17.5;3;0;0;5;0;0;32;35;6;21;19;27;0;1;0;128;11;29;27.5
384;Unai Núñez;ESP;DF;Athletic Club;24;1997;17;15;1389;15.4;1;1;1;0;0;5;0;0.06;0.06;0.13;0.06;0.13;10;4;40.0;0.65;0.26;0.10;0.25;11.4;0;0;0;5;0;0;17;9;0;1;11;15;0;3;0;147;45;25;64.3
385;Kelechi Nwakali;NGA;CC,DL;Huesca;22;1998;5;1;141;1.6;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;1;0;0;3;2;0;0;0;6;0;0;0;13;2;1;66.7
386;Allan Nyom;CMR;CC,DF;Getafe;32;1988;25;23;1868;20.8;0;2;0;0;0;9;1;0.00;0.10;0.10;0.00;0.10;9;2;22.2;0.43;0.10;0.00;0.00;14.5;0;0;0;9;1;0;36;18;1;71;21;21;0;0;0;137;51;34;60.0
387;Jan Oblak;SVN;PO;Atlético Madrid;28;1993;29;29;2610;29.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;116;0;0;
388;Lucas Ocampos;ARG;DL;Sevilla;26;1994;25;22;1953;21.7;4;4;0;4;5;3;0;0.18;0.18;0.37;0.00;0.18;47;10;21.3;2.17;0.46;0.00;0.00;16.8;0;4;5;3;0;0;27;68;5;39;18;26;1;0;0;114;29;26;52.7
389;Álvaro Odriozola;ESP;DF;Real Madrid;25;1995;4;3;226;2.5;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;1;2;0;10;2;2;0;0;0;16;0;4;0.0
390;Shinji Okazaki;JPN;DL;Huesca;34;1986;21;13;1040;11.6;1;1;1;0;0;1;0;0.09;0.09;0.17;0.09;0.17;18;4;22.2;1.56;0.35;0.06;0.25;13.7;0;0;0;1;0;0;12;14;10;3;4;6;0;0;0;28;25;47;34.7
391;Lucas Olaza;URU;DF;Celta Vigo;26;1994;18;18;1615;17.9;0;2;0;0;0;4;0;0.00;0.11;0.11;0.00;0.11;11;2;18.2;0.61;0.11;0.00;0.00;26.9;1;0;0;4;0;0;18;18;2;43;17;22;1;0;1;166;24;27;47.1
392;Lucas Olaza;URU;DF;Valladolid;26;1994;7;7;630;7.0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;2;0;0.0;0.29;0.00;0.00;;22.8;0;0;0;3;0;0;4;7;0;14;14;2;0;0;0;59;13;7;65.0
393;Christian Oliva;URU;CC;Valencia;24;1996;4;1;132;1.5;0;1;0;0;0;0;0;0.00;0.68;0.68;0.00;0.68;1;1;100.0;0.68;0.68;0.00;0.00;31.1;0;0;0;0;0;0;3;3;0;0;3;1;0;0;0;8;1;0;100.0
394;Paulo Oliveira;POR;DF;Eibar;29;1992;22;21;1908;21.2;0;1;0;0;0;1;0;0.00;0.05;0.05;0.00;0.05;8;3;37.5;0.38;0.14;0.00;0.00;11.5;0;0;0;1;0;0;22;6;1;1;18;19;0;0;0;274;73;50;59.3
395;Mathías Olivera;URU;DF;Getafe;23;1997;24;23;1991;22.1;0;0;0;0;0;5;0;0.00;0.00;0.00;0.00;0.00;7;1;14.3;0.32;0.05;0.00;0.00;13.2;0;0;0;5;0;0;23;19;2;45;19;26;0;1;0;244;57;53;51.8
396;Javier Ontiveros;ESP;DL,CC;Huesca;23;1997;20;10;918;10.2;2;1;1;1;1;5;0;0.20;0.10;0.29;0.10;0.20;35;9;25.7;3.43;0.88;0.03;0.11;24.8;4;1;1;5;0;0;27;33;0;20;12;19;0;0;0;83;5;14;26.3
397;Fabián Orellana;CHI;CC,DL;Valladolid;35;1986;25;22;1759;19.5;4;2;1;3;3;5;0;0.20;0.10;0.31;0.05;0.15;21;11;52.4;1.07;0.56;0.05;0.09;18.3;1;3;3;5;0;0;22;45;4;43;12;16;0;0;0;131;11;47;19.0
398;Mikel Oyarzabal;ESP;DL,CC;Real Sociedad;23;1997;24;22;1725;19.2;10;6;4;6;7;1;0;0.52;0.31;0.83;0.21;0.52;47;18;38.3;2.45;0.94;0.09;0.22;19.1;2;6;7;1;0;0;20;26;15;46;14;12;1;0;0;128;14;32;30.4
399;Fernando Pacheco;ESP;PO;Alavés;28;1992;29;29;2610;29.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;111;0;0;
400;Helibelton Palacios;COL;DF;Elche;27;1993;3;3;270;3.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;3;2;0;3;4;4;0;0;0;17;2;2;50.0
401;Ante Palaversa;CRO;CC,DL;Getafe;21;2000;2;0;9;0.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;
402;Daniel Parejo;ESP;CC;Villarreal;31;1989;27;27;2396;26.6;3;2;3;0;0;4;0;0.11;0.08;0.19;0.11;0.19;24;8;33.3;0.90;0.30;0.13;0.38;23.1;5;0;0;4;0;0;29;47;0;25;21;45;0;0;0;254;19;18;51.4
403;Thomas Partey;GHA;CC;Atlético Madrid;27;1993;3;2;200;2.2;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;5;0;0.0;2.25;0.00;0.00;;35.5;0;0;0;1;0;0;5;1;0;0;2;7;0;0;0;26;3;1;75.0
404;John Patrick;ESP;CC,DF;Getafe;17;2003;6;0;65;0.7;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;2;0;0.0;2.77;0.00;0.00;;17.0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;7;1;3;25.0
405;Gabriel Paulista;BRA;DF;Valencia;30;1990;23;23;1996;22.2;2;1;2;0;0;4;0;0.09;0.05;0.14;0.09;0.14;11;4;36.4;0.50;0.18;0.18;0.50;15.7;0;0;0;4;0;0;11;20;0;0;38;9;0;1;0;188;53;30;63.9
406;Alfonso Pedraza;ESP;DF;Villarreal;24;1996;24;20;1688;18.8;1;2;1;0;0;7;0;0.05;0.11;0.16;0.05;0.16;18;6;33.3;0.96;0.32;0.06;0.17;17.2;0;0;0;7;0;0;35;22;1;66;21;19;2;0;1;158;37;21;63.8
407;Pedri;ESP;CC;Barcelona;18;2002;29;21;1897;21.1;2;3;2;0;0;1;0;0.09;0.14;0.24;0.09;0.24;18;5;27.8;0.85;0.24;0.11;0.40;16.5;0;0;0;1;0;0;15;34;0;9;26;26;1;0;0;145;5;8;38.5
408;Facundo Pellistri;URU;CC;Alavés;19;2001;6;4;386;4.3;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;5;2;40.0;1.17;0.47;0.00;0.00;20.8;0;0;0;0;0;0;3;7;0;6;4;4;0;0;0;34;6;11;35.3
409;Rubén Peña;ESP;DF,DL;Villarreal;29;1991;13;9;849;9.4;1;0;1;0;0;1;0;0.11;0.00;0.11;0.11;0.11;5;2;40.0;0.53;0.21;0.20;0.50;16.5;0;0;0;1;0;0;16;13;0;27;10;14;0;0;0;82;15;11;57.7
410;Pepe;ESP;DF;Granada;21;2000;2;2;163;1.8;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.55;0.00;0.00;;24.7;0;0;0;0;0;0;2;1;0;0;1;4;0;1;0;20;1;3;25.0
411;Alberto Perea;ESP;CC;Cádiz;30;1990;23;14;1341;14.9;1;2;1;0;0;0;0;0.07;0.13;0.20;0.07;0.20;25;5;20.0;1.68;0.34;0.04;0.20;21.2;4;0;0;0;0;0;4;33;1;32;29;13;0;0;0;91;6;13;31.6
412;Iñigo Pérez;ESP;CC,DF;Osasuna;33;1988;21;15;1268;14.1;0;0;0;0;0;4;1;0.00;0.00;0.00;0.00;0.00;9;2;22.2;0.64;0.14;0.00;0.00;25.4;1;0;0;4;1;1;13;11;0;25;9;13;0;0;0;112;12;25;32.4
413;Juan Pérez;ESP;PO;Osasuna;24;1996;1;1;90;1.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;
414;Kike Pérez;ESP;CC;Valladolid;24;1997;21;11;1039;11.5;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;13;4;30.8;1.13;0.35;0.00;0.00;21.4;1;0;0;2;0;0;27;21;0;11;10;17;1;0;0;110;26;39;40.0
415;Lucas Pérez;ESP;DL;Alavés;32;1988;20;13;1269;14.1;4;3;1;3;4;1;0;0.28;0.21;0.50;0.07;0.28;20;6;30.0;1.42;0.43;0.05;0.17;18.8;2;3;4;1;0;0;8;26;10;32;4;6;1;0;0;72;5;12;29.4
416;Luis Pérez;ESP;DF;Valladolid;26;1995;18;12;1113;12.4;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.08;0.00;0.00;;19.7;0;0;0;1;0;0;15;14;1;27;12;20;0;1;0;112;24;14;63.2
417;Nehuén Pérez;ARG;DF;Granada;20;2000;7;5;481;5.3;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;4;0;0.0;0.75;0.00;0.00;;9.1;0;0;0;2;0;0;5;1;0;0;5;3;0;0;0;31;15;10;60.0
418;Pablo Piatti;ARG;DL,CC;Elche;32;1989;2;0;28;0.3;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1;1;100.0;3.21;3.21;0.00;0.00;22.0;0;0;0;0;0;0;2;1;0;3;0;0;0;0;0;1;0;3;0.0
419;Tomás Pina Isla;ESP;CC;Alavés;33;1987;24;22;1822;20.2;1;0;1;0;0;10;0;0.05;0.00;0.05;0.05;0.05;7;1;14.3;0.35;0.05;0.14;1.00;17.2;0;0;0;10;0;0;50;14;2;1;30;22;0;0;0;194;33;37;47.1
420;Yeremi Pino;ESP;DL,CC;Villarreal;18;2002;15;2;433;4.8;1;1;1;0;0;3;0;0.21;0.21;0.42;0.21;0.42;7;2;28.6;1.45;0.42;0.14;0.50;13.7;0;0;0;3;0;0;15;9;1;6;5;6;1;1;0;20;6;6;50.0
421;Gerard Piqué;ESP;DF;Barcelona;34;1987;11;11;923;10.3;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;3;0;0.0;0.29;0.00;0.00;;7.8;0;0;0;2;0;0;7;5;2;0;8;12;0;0;0;126;35;14;71.4
422;Miralem Pjanić;BIH;CC;Barcelona;31;1990;17;6;605;6.7;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;15;3;20.0;2.23;0.45;0.00;0.00;21.8;2;0;0;1;0;0;4;10;0;1;7;5;0;0;0;71;5;4;55.6
423;Óscar Plano;ESP;CC,DL;Valladolid;30;1991;28;22;1828;20.3;3;4;3;0;0;1;1;0.15;0.20;0.34;0.15;0.34;24;6;25.0;1.18;0.30;0.13;0.50;16.8;0;0;0;1;1;0;39;42;2;21;25;30;0;1;0;159;47;55;46.1
424;Dani Plomer;ESP;DL;Granada;22;1998;1;0;45;0.5;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.0
425;Jorge Pombo;ESP;DL,CC;Cádiz;27;1994;9;4;434;4.8;1;0;1;0;0;1;0;0.21;0.00;0.21;0.21;0.21;13;4;30.8;2.70;0.83;0.08;0.25;20.1;0;0;0;1;0;0;7;11;0;8;0;4;0;0;0;37;3;2;60.0
426;Pere Pons;ESP;CC;Alavés;28;1993;13;7;724;8.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;4;1;25.0;0.50;0.12;0.00;0.00;15.1;0;0;0;1;0;0;12;8;1;4;7;11;0;0;0;78;7;15;31.8
427;Francisco Portillo;ESP;CC,DL;Getafe;30;1990;15;3;397;4.4;0;1;0;0;0;1;0;0.00;0.23;0.23;0.00;0.23;0;0;;0.00;0.00;;;;0;0;0;1;0;0;4;4;0;11;4;3;0;0;0;39;1;13;7.1
428;Portu;ESP;DL,CC;Real Sociedad;28;1992;28;18;1639;18.2;7;3;7;0;0;2;0;0.38;0.16;0.55;0.38;0.55;22;8;36.4;1.21;0.44;0.32;0.88;12.6;0;0;0;2;0;0;25;22;18;48;8;11;0;0;0;86;18;25;41.9
429;Sergio Postigo;ESP;DF;Levante;32;1988;17;14;1208;13.4;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.07;0.00;0.00;;11.2;0;0;0;2;0;0;12;12;0;0;23;10;0;0;0;84;20;13;60.6
430;Darío Poveda;ESP;DL;Getafe;24;1997;1;0;5;0.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;1;66.7
431;Alejandro Pozo Pozo;ESP;DF,CC;Eibar;22;1999;24;20;1851;20.6;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;7;0;0.0;0.34;0.00;0.00;;22.6;0;0;0;4;0;0;21;14;2;45;26;24;0;0;0;178;8;36;18.2
432;Antonio Puertas;ESP;DL,CC;Granada;29;1992;27;15;1564;17.4;1;3;1;0;0;4;0;0.06;0.17;0.23;0.06;0.23;21;8;38.1;1.21;0.46;0.05;0.13;15.3;0;0;0;4;0;0;21;17;9;36;11;9;0;0;0;115;43;69;38.4
433;Riqui Puig;ESP;CC;Barcelona;21;1999;11;2;205;2.3;1;0;1;0;0;0;0;0.44;0.00;0.44;0.44;0.44;4;2;50.0;1.76;0.88;0.25;0.50;17.0;0;0;0;0;0;0;1;6;0;0;1;2;0;0;0;16;1;2;33.3
434;Jorge Pulido;ESP;DF;Huesca;30;1991;25;24;2165;24.1;1;0;1;0;0;5;1;0.04;0.00;0.04;0.04;0.04;15;2;13.3;0.62;0.08;0.07;0.50;12.5;0;0;0;5;1;1;25;18;4;5;22;20;0;0;0;242;48;41;53.9
435;Domingos Quina;POR;CC;Granada;21;1999;6;5;310;3.4;2;0;2;0;0;0;0;0.58;0.00;0.58;0.58;0.58;7;2;28.6;2.03;0.58;0.29;1.00;21.9;0;0;0;0;0;0;2;9;1;2;3;5;0;0;0;27;5;5;50.0
436;Quini;ESP;DF;Granada;31;1989;11;5;516;5.7;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;3;0;0.0;0.52;0.00;0.00;;21.9;0;0;0;2;0;0;14;4;0;16;7;15;0;0;0;52;15;1;93.8
437;Quique;ESP;DL;Eibar;30;1990;8;0;87;1.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;2;1;50.0;2.07;1.03;0.00;0.00;16.5;0;0;0;0;0;0;2;3;1;0;0;0;0;0;0;6;4;6;40.0
438;Dani Raba;ESP;CC;Villarreal;25;1995;1;0;30;0.3;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;2;0;0.0;6.00;0.00;0.00;;21.0;1;0;0;0;0;0;1;0;1;0;0;2;0;0;0;4;1;0;100.0
439;Uroš Račić;SRB;CC;Valencia;23;1998;22;18;1596;17.7;1;0;1;0;0;5;0;0.06;0.00;0.06;0.06;0.06;27;7;25.9;1.52;0.39;0.04;0.14;21.4;0;0;0;5;0;0;32;18;0;1;13;22;0;1;0;207;68;34;66.7
440;Nemanja Radoja;SRB;CC;Levante;28;1993;20;12;1103;12.3;0;2;0;0;0;1;0;0.00;0.16;0.16;0.00;0.16;7;0;0.0;0.57;0.00;0.00;;22.2;0;0;0;1;0;0;15;8;0;3;12;11;0;0;0;129;25;14;64.1
441;Ivan Rakitić;CRO;CC;Sevilla;33;1988;28;20;1758;19.5;1;1;1;0;0;5;0;0.05;0.05;0.10;0.05;0.10;29;6;20.7;1.48;0.31;0.03;0.17;18.5;2;0;0;5;0;0;29;17;2;13;14;23;1;0;0;160;24;31;43.6
442;Sandro Ramírez;ESP;DL,CC;Huesca;25;1995;11;8;626;7.0;3;1;3;0;0;1;0;0.43;0.14;0.58;0.43;0.58;12;9;75.0;1.73;1.29;0.25;0.33;15.7;0;0;0;1;0;0;9;29;5;9;8;7;0;0;0;33;7;16;30.4
443;Sergio Ramos;ESP;DF;Real Madrid;35;1986;15;15;1275;14.2;2;0;0;2;2;3;0;0.14;0.00;0.14;0.00;0.00;15;4;26.7;1.06;0.28;0.00;0.00;12.1;3;2;2;3;0;0;17;6;2;5;16;12;1;1;0;153;29;22;56.9
444;Recio;ESP;CC;Eibar;30;1991;11;5;379;4.2;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;8;0;0.0;1.90;0.00;0.00;;19.7;1;0;0;3;0;0;12;10;0;10;4;8;0;0;0;45;6;12;33.3
445;Francisco Reis Ferreira;POR;DF;Valencia;24;1997;2;1;91;1.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;8;0;1;0.0
446;Karim Rekik;NED;DF;Sevilla;26;1994;10;5;563;6.3;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;3;0;0.0;0.48;0.00;0.00;;8.4;0;0;0;2;0;0;17;4;1;8;5;7;0;0;0;29;13;4;76.5
447;Álex Remiro;ESP;PO;Real Sociedad;26;1995;29;29;2610;29.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;133;0;0;
448;Oriol Rey;ESP;CC;Valladolid;23;1998;1;0;15;0.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0.0
449;Ricard;ESP;DF;Atlético Madrid;21;2000;1;0;30;0.3;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;3.00;0.00;0.00;;19.2;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;2;0;1;0.0
450;Mikel Rico;ESP;CC;Huesca;36;1984;24;21;1721;19.1;1;2;1;0;0;1;0;0.05;0.10;0.16;0.05;0.16;16;5;31.3;0.84;0.26;0.06;0.20;15.3;0;0;0;1;0;0;13;16;2;19;15;12;0;0;0;156;13;19;40.6
451;Emiliano Rigoni;ARG;CC,DL;Elche;28;1993;19;11;1030;11.4;1;1;1;0;0;4;0;0.09;0.09;0.17;0.09;0.17;13;4;30.8;1.14;0.35;0.08;0.25;21.9;3;0;0;4;0;0;19;7;7;23;4;8;0;0;0;49;5;10;33.3
452;Luis Rioja;ESP;CC,DF;Alavés;27;1993;26;20;1639;18.2;2;1;2;0;0;3;0;0.11;0.05;0.16;0.11;0.16;17;8;47.1;0.93;0.44;0.12;0.25;17.4;0;0;0;3;0;0;15;22;4;44;20;10;1;0;0;111;15;33;31.3
453;Rober;ESP;DF;Levante;26;1995;12;9;856;9.5;0;1;0;0;0;3;1;0.00;0.11;0.11;0.00;0.11;0;0;;0.00;0.00;;;;0;0;0;3;1;0;9;3;1;0;22;10;0;0;0;79;15;19;44.1
454;Roberto;ESP;PO;Valladolid;35;1986;10;10;900;10.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;
455;Sergi Roberto;ESP;DF;Barcelona;29;1992;8;7;650;7.2;1;2;1;0;0;1;0;0.14;0.28;0.42;0.14;0.42;4;1;25.0;0.55;0.14;0.25;1.00;18.1;0;0;0;1;0;0;5;9;1;4;4;6;0;0;0;60;5;6;45.5
456;Joel Robles;ESP;PO;Betis;30;1990;18;18;1620;18.0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;2;0;0;1;1;0;0;0;0;0;1;0;89;0;0;
457;Rubén Rochina;ESP;CC;Levante;30;1991;21;16;1256;14.0;0;1;0;0;0;4;0;0.00;0.07;0.07;0.00;0.07;33;7;21.2;2.36;0.50;0.00;0.00;24.6;0;0;0;4;0;0;35;28;0;25;19;25;0;0;0;141;20;12;62.5
458;Rodrigo;ESP;DL,CC;Betis;20;2000;11;3;381;4.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;3;0;0.0;0.71;0.00;0.00;;23.4;0;0;0;0;0;0;1;11;2;8;1;1;0;0;0;30;1;6;14.3
459;Kévin Rodrigues;POR;DF,CC;Eibar;27;1994;17;9;933;10.4;1;1;1;0;0;1;0;0.10;0.10;0.19;0.10;0.19;9;4;44.4;0.87;0.39;0.11;0.25;22.1;0;0;0;1;0;0;8;15;1;33;14;10;0;0;0;108;11;31;26.2
460;Óscar Rodríguez Arnaiz;ESP;CC,DL;Sevilla;22;1998;14;3;362;4.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;8;1;12.5;1.99;0.25;0.00;0.00;22.6;1;0;0;1;0;0;9;8;0;16;4;10;0;0;0;37;5;8;38.5
461;Ángel Rodríguez;ESP;DL,CC;Getafe;33;1987;25;9;1115;12.4;5;0;4;1;2;3;0;0.40;0.00;0.40;0.32;0.32;27;9;33.3;2.18;0.73;0.15;0.44;17.4;0;1;2;3;0;0;23;17;11;12;1;2;1;0;0;60;19;60;24.1
462;Guido Rodríguez;ARG;CC;Betis;26;1994;26;25;2055;22.8;1;0;1;0;0;9;0;0.04;0.00;0.04;0.04;0.04;22;4;18.2;0.96;0.18;0.05;0.25;19.6;0;0;0;9;0;0;48;37;0;3;32;52;0;1;0;264;34;32;51.5
463;Miguel Rodríguez;ESP;DL,CC;Celta Vigo;17;2003;4;0;30;0.3;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;2;0;0;2;1;0;1;0;2;0;0;0;1;0;1;0.0
464;Víctor Rodríguez;ESP;CC;Elche;31;1989;12;2;347;3.9;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;1;0;0;7;7;0;1;8;4;0;0;0;24;5;4;55.6
465;Rodrygo;BRA;DL;Real Madrid;20;2001;15;5;572;6.4;0;5;0;0;0;0;0;0.00;0.79;0.79;0.00;0.79;13;4;30.8;2.05;0.63;0.00;0.00;14.8;0;0;0;0;0;0;10;12;1;8;5;4;0;0;0;24;6;9;40.0
466;Facundo Roncaglia;ARG;DF;Osasuna;34;1987;15;13;1126;12.5;1;1;1;0;0;3;1;0.08;0.08;0.16;0.08;0.16;12;2;16.7;0.96;0.16;0.08;0.50;26.2;0;0;0;3;1;1;15;6;0;15;12;15;0;1;0;149;29;18;61.7
467;Rubén;ESP;PO,CC;Osasuna;36;1984;3;3;187;2.1;0;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;9;0;0;
468;Waldo Rubio;ESP;DL;Valladolid;25;1995;9;5;363;4.0;1;0;0;1;1;1;0;0.25;0.00;0.25;0.00;0.00;8;1;12.5;1.98;0.25;0.00;0.00;23.1;0;1;1;1;0;0;6;2;1;2;1;5;0;0;0;31;0;10;0.0
469;Aitor Ruibal;ESP;DL,CC;Betis;25;1996;20;16;1181;13.1;1;1;1;0;0;2;0;0.08;0.08;0.15;0.08;0.15;21;8;38.1;1.60;0.61;0.05;0.13;18.5;0;0;0;2;0;0;22;11;2;21;17;20;0;0;0;73;12;15;44.4
470;Isma Ruiz;ESP;CC;Granada;20;2001;1;1;67;0.7;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;8;1;4;20.0
471;Víctor Ruiz;ESP;DF;Betis;32;1989;20;17;1527;17.0;1;0;1;0;0;5;0;0.06;0.00;0.06;0.06;0.06;3;3;100.0;0.18;0.18;0.33;0.33;13.6;0;0;0;5;0;0;19;4;2;0;31;8;0;0;2;168;50;29;63.3
472;Modibo Sagnan;MLI;DF;Real Sociedad;21;1999;13;6;513;5.7;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;3;1;33.3;0.53;0.18;0.00;0.00;35.1;1;0;0;2;0;0;12;4;0;0;5;3;0;0;0;48;13;14;48.1
